split,accuracy,precision,recall,log_loss
train,0.5689362891207154,0.6347175858413818,0.26883503714304763,0.6787671217500709
validation,0.5573824826353864,0.4520118323428218,0.25746150914179927,0.6845412225737252
test,0.5587021256511254,0.44682358958984136,0.25538704674314455,0.6840457035758677
